,Water_site,Year,Month,Weather_station,Rank,Monthly_Rainfall,Avg_temp,Avg_Nitrate,Warning_level,Change,Future_Nitrate,Future_Warning,latitude.x,longitude.x,Region,,Region2
1,Beaver Creek at Johnston,2022,1,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.44,28.70967742,7.2,Safe,-1.1,6.1,Safe,41.6882532,-93.7354999,DML,TRUE,DML
2,Beaver Creek at Johnston,2022,2,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,0.22,36.46428571,6.1,Safe,-1,5.1,Safe,41.6882532,-93.7354999,DML,TRUE,DML
3,Beaver Creek at Johnston,2022,3,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.45,48.80645161,5.1,Safe,5.9,11,Alert,41.6882532,-93.7354999,DML,TRUE,DML
4,Beaver Creek at Johnston,2022,4,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.65,58.06666667,11,Alert,-1,10,Alert,41.6882532,-93.7354999,DML,TRUE,DML
5,Beaver Creek at Johnston,2022,5,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.97,72.96774194,10,Alert,7,17,Alert,41.6882532,-93.7354999,DML,TRUE,DML
6,Beaver Creek at Johnston,2022,6,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.1,85,17,Alert,-3,14,Alert,41.6882532,-93.7354999,DML,TRUE,DML
7,Beaver Creek at Johnston,2022,7,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.25,87.06451613,14,Alert,-12.8,1.2,Safe,41.6882532,-93.7354999,DML,TRUE,DML
8,Beaver Creek at Johnston,2022,8,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,4.04,86.35483871,1.2,Safe,3.8,5,Safe,41.6882532,-93.7354999,DML,TRUE,DML
9,Beaver Creek at Johnston,2022,9,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.52,78.03333333,5,Safe,0.6,5.6,Safe,41.6882532,-93.7354999,DML,TRUE,DML
10,Beaver Creek at Johnston,2022,10,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.03,66,5.6,Safe,-2,3.6,Safe,41.6882532,-93.7354999,DML,TRUE,DML
11,Beaver Creek at Johnston,2022,11,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.93,48.63333333,3.6,Safe,-1,2.6,Safe,41.6882532,-93.7354999,DML,TRUE,DML
12,Beaver Creek at Johnston,2022,12,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.99,32.74193548,2.6,Safe,-1.1,1.5,Safe,41.6882532,-93.7354999,DML,TRUE,DML
13,Beaver Creek at Johnston,2023,1,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.64,33.38709677,1.5,Safe,2.3,3.8,Safe,41.6882532,-93.7354999,DML,TRUE,DML
14,Beaver Creek at Johnston,2023,2,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.01,41.78571429,3.8,Safe,0.5,4.3,Safe,41.6882532,-93.7354999,DML,TRUE,DML
15,Beaver Creek at Johnston,2023,3,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.33,47.48387097,4.3,Safe,1.2,5.5,Safe,41.6882532,-93.7354999,DML,TRUE,DML
16,Beaver Creek at Johnston,2023,4,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.54,64,5.5,Safe,1.8,7.3,Safe,41.6882532,-93.7354999,DML,TRUE,DML
17,Beaver Creek at Johnston,2023,5,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.36,77.38709677,7.3,Safe,5.7,13,Alert,41.6882532,-93.7354999,DML,TRUE,DML
18,Beaver Creek at Johnston,2023,6,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.2,84.23333333,13,Alert,-5.9,7.1,Safe,41.6882532,-93.7354999,DML,TRUE,DML
19,Beaver Creek at Johnston,2023,7,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.32,85.51612903,7.1,Safe,-5.7,1.4,Safe,41.6882532,-93.7354999,DML,TRUE,DML
20,Beaver Creek at Johnston,2023,8,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.4,85.41935484,1.4,Safe,2,3.4,Safe,41.6882532,-93.7354999,DML,TRUE,DML
21,Beaver Creek at Johnston,2023,9,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.43,82.46666667,3.4,Safe,3.4,6.8,Safe,41.6882532,-93.7354999,DML,TRUE,DML
22,Beaver Creek at Johnston,2023,10,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.9,65.29032258,6.8,Safe,-3.9,2.9,Safe,41.6882532,-93.7354999,DML,TRUE,DML
